invoice_no,customer_code,customer_name,issue_date,due_date,amount,currency
INV-2026-0301,C057,Batumi Systems Co,2026-07-09,2026-08-08,966.50,USD
INV-2026-0302,C015,Kobuleti Logistics LLC,2026-05-12,2026-06-11,23801.50,GEL
INV-2026-0303,C012,Zugdidi Retail Co,2026-05-05,2026-06-04,3976.50,GEL
INV-2026-0304,C006,ბორჯომი Co,2026-04-18,2026-05-18,14435.50,GEL
INV-2026-0305,C024,Telavi Retail LLC,2026-07-06,2026-08-05,1692.50,EUR
INV-2026-0306,C044,Kobuleti Agro JSC,2026-05-27,2026-06-26,3792.00,GEL
INV-2026-0307,C027,Rustavi Construction Co,2026-06-14,2026-07-14,9268.00,GEL
INV-2026-0308,C012,Zugdidi Retail Co,2026-06-11,2026-07-11,26245.00,GEL
INV-2026-0309,C035,Telavi Agro JSC,2026-06-15,2026-07-15,2482.00,GEL
INV-2026-0310,C018,Mtskheta Energy Group,2026-07-31,2026-08-14,24817.50,GEL
INV-2026-0311,C004,ლიხი JSC,2026-07-09,2026-08-08,27633.00,GEL
INV-2026-0312,C053,Telavi Energy Group,2026-07-12,2026-08-11,19827.00,USD
INV-2026-0313,C055,Tbilisi Agro LLC,2026-06-25,2026-07-25,30640.00,GEL
INV-2026-0314,C003,კოლხეთი JSC,2026-04-20,2026-06-04,36647.00,EUR
INV-2026-0315,C047,Telavi Textiles JSC,2026-07-24,2026-09-07,20068.00,USD
INV-2026-0316,C019,Telavi Construction JSC,2026-04-08,2026-05-08,12295.00,GEL
INV-2026-0317,C035,Telavi Agro JSC,2026-07-24,2026-08-23,28551.50,GEL
INV-2026-0318,C036,Poti Systems Co,2026-07-08,2026-08-07,31407.00,GEL
INV-2026-0319,C031,Marneuli Systems LLC,2026-05-14,2026-05-28,14220.50,GEL
INV-2026-0320,C014,Poti Construction JSC,2026-05-12,2026-06-11,10645.50,GEL
INV-2026-0321,C052,Poti Textiles Co,2026-06-22,2026-07-22,37473.00,GEL
INV-2026-0322,C016,Gori Steel JSC,2026-06-25,2026-08-09,41934.00,GEL
INV-2026-0323,C048,Poti Construction JSC,2026-04-13,2026-05-13,4501.50,USD
INV-2026-0324,C021,Poti Foods JSC,2026-07-02,2026-08-01,4186.00,GEL
INV-2026-0325,C019,Telavi Construction JSC,2026-04-08,2026-04-22,23895.50,GEL
INV-2026-0326,C049,Poti Textiles Group,2026-06-03,2026-06-17,22695.00,EUR
INV-2026-0327,C023,Telavi Trading Group,2026-07-14,2026-08-13,10405.50,USD
INV-2026-0328,C009,Poti Steel JSC,2026-04-05,2026-05-05,2503.00,USD
,C019,Telavi Foods Co,2026-05-11,2026-06-10,980.00,GEL
INV-2026-0329,C030,Marneuli Construction Co,2026-07-25,2026-08-08,1808.00,GEL
INV-2026-0330,C014,Poti Construction JSC,2026-06-14,2026-06-28,8389.00,GEL
INV-2026-0331,C052,Poti Textiles Co,2026-04-26,2026-05-10,23892.00,GEL
INV-2026-0332,C023,Telavi Trading Group,2026-06-28,2026-07-28,3730.00,USD
INV-2026-0333,C024,Telavi Retail LLC,2026-07-06,2026-08-05,22922.50,EUR
INV-2026-0334,C026,Kutaisi Print Group,2026-04-25,2026-05-25,2614.00,GEL
INV-2026-0335,C015,Kobuleti Logistics LLC,2026-07-06,2026-08-20,15563.50,GEL
INV-2026-0336,C035,Telavi Agro JSC,2026-07-11,2026-07-25,6747.50,GEL
INV-2026-0337,C060,Telavi Pharma LLC,2026-07-12,2026-08-11,43766.50,USD
INV-2026-0338,C052,Poti Textiles Co,2026-05-30,2026-06-29,12101.00,GEL
INV-2026-0339,C030,Marneuli Construction Co,2026-07-29,2026-08-28,32730.50,GEL
INV-2026-0340,C014,Poti Construction JSC,2026-06-17,2026-07-17,27828.50,GEL
INV-2026-0341,C011,Batumi Construction Group,2026-07-10,2026-08-24,22199.00,GEL
INV-2026-0342,C044,Kobuleti Agro JSC,2026-07-28,2026-09-11,42879.50,GEL
INV-2026-0343,C014,Poti Construction JSC,2026-05-30,2026-06-13,38683.50,GEL
INV-2026-0344,C006,ბორჯომი Co,2026-05-31,2026-06-30,3477.00,GEL
INV-2026-0345,C003,კოლხეთი JSC,2026-06-19,2026-07-19,42609.50,EUR
INV-2026-0346,C055,Tbilisi Agro LLC,2026-07-22,2026-08-05,30712.50,GEL
INV-2026-0347,C023,Telavi Trading Group,2026-06-07,2026-07-07,16710.50,USD
INV-2026-0348,C037,Kutaisi Agro Co,2026-04-03,2026-05-03,10255.00,GEL
INV-2026-0349,C011,Batumi Construction Group,2026-05-04,2026-06-03,16462.50,GEL
INV-2026-0350,C023,Telavi Trading Group,2026-04-29,2026-05-13,30107.00,USD
INV-2026-0351,C059,Kobuleti Textiles LLC,2026-07-01,2026-07-31,30716.00,USD
INV-2026-0352,C030,Marneuli Construction Co,2026-06-14,2026-06-28,29908.50,GEL
INV-2026-0353,C041,Kobuleti Construction JSC,2026-04-06,2026-05-06,29222.50,GEL
INV-2026-0354,C004,ლიხი JSC,2026-04-23,2026-05-23,16236.00,GEL
INV-2026-0355,C027,Rustavi Construction Co,2026-04-03,2026-04-17,36096.00,GEL
INV-2026-0356,C039,Kobuleti Foods Group,2026-06-29,2026-08-13,22324.00,USD
INV-2026-0357,C028,Mtskheta Retail LLC,2026-06-19,2026-07-19,2081.00,GEL
INV-2026-0358,C017,Tbilisi Pharma JSC,2026-04-16,2026-05-31,26291.50,GEL
INV-2026-0359,C055,Tbilisi Agro LLC,2026-04-22,2026-05-22,14948.50,GEL
INV-2026-0360,C036,Poti Systems Co,2026-04-29,2026-05-29,1224.50,GEL
INV-2026-0361,C008,Kutaisi Print JSC,2026-04-25,2026-05-25,31155.00,GEL
INV-2026-0362,C002,მტკვარი JSC,2026-07-08,2026-08-07,29994.50,GEL
INV-2026-0363,C012,Zugdidi Retail Co,2026-07-19,2026-08-02,18563.00,GEL
INV-2026-0364,C040,Rustavi Pharma JSC,2026-05-22,2026-06-21,16834.00,GEL
INV-2026-0365,C017,Tbilisi Pharma JSC,2026-05-12,2026-05-26,30200.00,GEL
INV-2026-0366,C041,Kobuleti Construction JSC,2026-04-01,2026-05-16,35588.50,GEL
INV-2026-0367,C043,Zugdidi Pharma Co,2026-04-20,2026-05-20,41550.00,GEL
INV-2026-0368,C017,Tbilisi Pharma JSC,2026-07-11,2026-08-10,30915.50,GEL
INV-2026-0369,C028,Mtskheta Retail LLC,2026-07-02,2026-08-01,24461.00,GEL
INV-2026-0370,C030,Marneuli Construction Co,2026-04-15,2026-05-15,28193.00,GEL
INV-2026-0371,C005,ყაზბეგი LLC,2026-06-17,2026-08-01,19399.50,GEL
INV-2026-0372,C011,Batumi Construction Group,2026-07-09,2026-07-23,31443.50,GEL
INV-2026-0373,C014,Poti Construction JSC,2026-05-06,2026-06-20,44969.50,GEL
INV-2026-0374,C021,Poti Foods JSC,2026-06-06,2026-07-06,8416.50,GEL
INV-2026-0375,C056,Poti Pharma Group,2026-07-09,2026-08-23,21072.50,GEL
INV-2026-0376,C015,Kobuleti Logistics LLC,2026-05-28,2026-07-12,17210.50,GEL
INV-2026-0377,C043,Zugdidi Pharma Co,2026-07-23,2026-09-06,19663.00,GEL
INV-2026-0378,C007,Kobuleti Print Group,2026-04-27,2026-05-27,42616.50,GEL
INV-2026-0379,C022,Rustavi Steel LLC,2026-06-22,2026-07-06,30290.50,EUR
INV-2026-0380,C057,Batumi Systems Co,2026-05-20,2026-06-19,32980.00,USD
INV-2026-0381,C025,Mtskheta Steel JSC,2026-05-14,2026-06-13,18583.50,GEL
INV-2026-0382,C047,Telavi Textiles JSC,2026-05-04,2026-06-03,16456.00,USD
INV-2026-0383,C050,Tbilisi Trading LLC,2026-07-25,2026-08-24,12243.50,GEL
INV-2026-0384,C045,Tbilisi Pharma Co,2026-06-28,2026-07-28,20931.00,GEL
INV-2026-0385,C004,ლიხი JSC,2026-06-30,2026-08-14,5215.00,GEL
INV-2026-0386,C036,Poti Systems Co,2026-07-10,2026-08-09,36796.00,GEL
INV-2026-0387,C045,Tbilisi Pharma Co,2026-07-21,2026-08-20,7399.50,GEL
INV-2026-0388,C052,Poti Textiles Co,2026-05-07,2026-06-06,10773.00,GEL
INV-2026-0389,C011,Batumi Construction Group,2026-04-27,2026-05-27,13918.00,GEL
INV-2026-0390,C023,Telavi Trading Group,2026-04-01,2026-05-01,6991.00,USD
INV-2026-0391,C032,Marneuli Steel LLC,2026-07-29,2026-08-28,14420.00,USD
INV-2026-0392,C028,Mtskheta Retail LLC,2026-07-06,2026-08-05,31396.00,GEL
INV-2026-0393,C051,Telavi Logistics LLC,2026-06-02,2026-06-16,5235.50,EUR
INV-2026-0394,C021,Poti Foods JSC,2026-07-31,2026-08-30,44493.00,GEL
INV-2026-0395,C022,Rustavi Steel LLC,2026-06-22,2026-07-22,39942.00,EUR
INV-2026-0396,C008,Kutaisi Print JSC,2026-06-10,2026-06-24,5836.00,GEL
INV-2026-0397,C058,Marneuli Logistics Group,2026-05-23,2026-06-22,12990.00,GEL
INV-2026-0398,C003,კოლხეთი JSC,2026-04-27,2026-05-11,20549.00,EUR
INV-2026-0399,C050,Tbilisi Trading LLC,2026-05-14,2026-06-28,14333.00,GEL
INV-2026-0400,C049,Poti Textiles Group,2026-05-30,2026-07-14,43989.50,EUR
INV-2026-0401,C010,Tbilisi Retail Co,2026-07-03,2026-08-02,21916.50,GEL
INV-2026-0402,C007,Kobuleti Print Group,2026-07-27,2026-08-26,31149.00,GEL
